Hotel ID,Hotel Name,Website URL,Status
177,favehotel Margonda - Depok,https://www.favehotels.com/en/hotel/view/120/favehotel-margonda---depok,Success
178,Royal Kamuela Sebatu - Ubud,https://www.kamuelavillas.com/en/the-villas/royal-kamuela-sebatu,Failed
179,Hotel Neo Ring Road - Yogyakarta,https://www.neohotels.com/en/hotel/view/60/hotel-neo-ring-road---yogyakarta,Failed
180,Hotel Neo Malioboro - Yogyakarta,https://www.neohotels.com/en/hotel/view/59/hotel-neo-malioboro---yogyakarta,Success
181,Harper Cikarang,https://www.harperhotels.com/en/hotel/view/56/harper-cikarang,Success
182,Favehotel Airport - Yogyakarta,https://www.favehotels.com/hotellist/eng/121/fave-hotel-airport---yogyakarta,Failed
183,Favehotel Serpong - Tangerang,https://www.favehotels.com/hotellist/eng/122/favehotel-serpong---tangerang,Failed
184,favehotel Hasyim Ashari,https://www.favehotels.com/en/hotel/view/96/favehotel-hasyim-ashari,Success
185,favehotel Imam Bonjol Samarinda,https://www.favehotels.com/hotellist/eng/97/favehotel-imam-bonjol-samarinda,Failed
186,favehotel Rungkut Surabaya,https://www.favehotels.com/en/hotel/view/89/favehotel-rungkut,Success
187,Aston Sidoarjo City Hotel & Conference Center,https://www.astonhotelsinternational.com/en/hotel/view/56/aston-kahuripan-city-hotel---sidoarjo,Failed
188,favehotel Subang,https://www.favehotels.com/en/hotel/view/134/favehotel-subang,Success
189,favehotel Sudirman - Bojonegoro,https://www.favehotels.com/en/hotel/view/132/favehotel-sudirman-bojonegoro,Success
190,favehotel Tuban,https://www.favehotels.com/en/hotel/view/131/favehotel-tuban,Success
191,Hotel Neo Gubeng - Surabaya,https://www.neohotels.com/en/hotel/view/62/hotel-neo-gubeng---surabaya,Success
192,favehotel Kwitang - Jakarta,https://www.favehotels.com/hotellist/eng/135/favehotel-kwitang---jakarta,Failed
193,Hotel Neo+ Balikpapan,https://www.neohotels.com/en/hotel/view/63/hotel-neo--balikpapan,Success
194,favehotel S. Parman Medan,https://www.favehotels.com/en/hotel/view/136/favehotel-s--parman-medan,Success
195,Aston Inn Batu,https://www.astonhotelsinternational.com/en/hotel/view/67/aston-inn-batu,Success
196,favehotel Sidoarjo,https://www.favehotels.com/en/hotel/view/144/favehotel-sidoarjo,Success
197,favehotel Kuta Kartika Plaza,https://www.favehotels.com/en/hotel/view/138/favehotel-kuta-kartika-plaza,Success
198,Quest Plus Conference Center - Clark,https://questhotelsandresorts.com/clark/,Success
199,Aston Canggu Beach Resort,https://www.astonhotelsinternational.com/en/hotel/view/57/aston-canggu-beach-resort,Success
200,Aston Inn Pandanaran - Semarang,https://www.astonhotelsinternational.com/en/hotel/view/58/aston-inn-pandanaran---semarang,Success
201,Hotel Neo+ Waru - Sidoarjo,https://www.neohotels.com/en/hotel/view/65/hotel-neo--waru---sidoarjo,Success
202,favehotel Madiun,https://www.favehotels.com/en/hotel/view/140/favehotel-madiun,Success
203,Aston Kartika Grogol Hotel & Conference Center,https://www.astonhotelsinternational.com/en/hotel/view/59/aston-kartika-grogol-hotel---conference-center,Success
204,Aston Gresik Hotel & Conference Center,https://www.astonhotelsinternational.com/en/hotel/view/60/aston-inn-gresik,Failed
205,favehotel Sorong,https://www.favehotels.com/en/hotel/view/142/favehotel-sorong,Success
206,Hotel Neo+ Kebayoran - Jakarta,https://www.neohotels.com/en/hotel/view/66/hotel-neo--kebayoran---jakarta,Success
207,favehotel Tasikmalaya,https://www.favehotels.com/en/hotel/view/143/favehotel-tasikmalaya,Failed
208,The Ritz Village Curacao,https://www.questhotels.com/en/hotel/view/2/the-ritz-hotel--curacao,Failed
209,Aston Serpong,https://www.astonhotelsinternational.com/en/hotel/view/65/aston-serpong,Success
210,The Alana Hotel & Conference Center - Sentul City,https://www.alanahotels.com/en/hotel/view/5/the-alana-hotel---conference-center---sentul-city,Success
211,favehotel Malang,https://www.favehotels.com/en/hotel/view/58/favehotel-malang,Success
212,The Prajan Suites Heritage Hotel,https://www.astonhotelsinternational.com/en/hotel/view/66/the-prajan-suites-heritage-hotel,Failed
213,Hotel Neo Ahmad Yani - Malang,https://www.neohotels.com/en/hotel/view/67/hotel-neo-ahmad-yani---malang,Failed
214,NOMAD Hostel Kemang,https://www.nomadhostels.com/en/hostel/view/2/nomad-hostel-kemang---jakarta,Failed
215,Harper Palembang,https://www.harperhotels.com/en/hotel/view/58/harper-palembang,Success
216,Aston Sumenep,https://www.astonhotelsinternational.com/en/hotel/view/69/aston-sumenep,Failed
217,Grand Aston Cayo Las Brujas Beach Resort & Spa - Cuba,https://www.astonhotelsinternational.com/en/hotel/view/72/aston-cayo-santa-maria,Failed
218,Harper Wahid Hasyim - Medan,https://www.harperhotels.com/en/hotel/view/59/harper-wahid-hasyim---medan,Success
219,favehotel Prabumulih - South Sumatera,https://www.favehotels.com/en/hotel/view/147/favehotel-prabumulih---south-sumatera,Success
220,Aston Cilegon Boutique Hotel,https://www.astonhotelsinternational.com/en/hotel/view/73/aston-cilegon-boutique-hotel,Success
221,Aston Inn Gideon - Batam,https://www.astonhotelsinternational.com/en/hotel/view/76/aston-inn-gideon---batam,Success
222,favehotel Bitung - North Sulawesi,https://www.favehotels.com/en/hotel/view/149/favehotel-bitung---north-sulawesi,Success
223,The Paditeras Seminyak,https://www.astonhotelsinternational.com/en/hotel/view/75/the-paditeras-seminyak,Failed
224,favehotel Ketapang,https://www.favehotels.com/en/hotel/view/146/favehotel-ketapang,Success
225,Harper Kupang - East Nusa Tenggara,https://www.harperhotels.com/en/hotel/view/61/harper-kupang---east-nusa-tenggara,Success
226,The Alana Hotel & Conference Center Malioboro,https://www.alanahotels.com/en/hotel/view/5/the-alana-hotel---conference-center-malioboro,Success
227,favehotel Pamanukan,https://www.favehotels.com/en/hotel/view/150/favehotel-pamanukan,Success
228,Hotel Neo Puri Indah,https://www.neohotels.com/en/hotel/view/68/hotel-neo-puri-indah---jakarta,Success
229,Aston Kemayoran City Hotel,https://www.astonhotelsinternational.com/en/hotel/view/79/aston-inn-kemayoran---jakarta,Failed
230,"Grand Aston Varadero Beach Resort (Varadero, Cuba)",,Failed
232,Quest Hotel Port Dickson,,Failed
234,Quest Hotel – Tagaytay,https://questhotelsandresorts.com/tagaytay/,Success
235,Aston Minangkabau Hotel & Conference Center,https://www.astonhotelsinternational.com/en/hotel/view/81/aston-minangkabau--hotel---conference-center,Failed
236,favehotel Karawang,https://www.favehotels.com/en/hotel/view/50/favehotel-karawang,Success
237,favehotel Prabumulih - South Sumatera,https://www.favehotels.com/en/hotel/view/147/favehotel-prabumulih---south-sumatera,Success
238,Aston Bellevue Radio Dalam,https://www.astonhotelsinternational.com/en/hotel/view/82/aston-bellevue-radio-dalam,Success
